model,lab,lab_group,date,authors,bibkey,doi,arxiv,source_note,verified
Attention Is All You Need,Google Brain / Google Research,Google,2017-06-12,8,vaswani2017attention,10.48550/arXiv.1706.03762,1706.03762,"Title-page author list, arXiv v1.",2026-08-23
GPT-1,OpenAI,OpenAI,2018-06-11,4,radford2018improving,,,"Title-page author list, OpenAI preprint PDF (no arXiv, no DOI). Count verified; the 11 June date is not verifiable from the PDF, whose only timestamp is 2018-06-08.",2026-08-23 (date unverified)
GPT-2,OpenAI,OpenAI,2019-02-14,6,radford2019language,,,"Title-page author list, OpenAI preprint PDF (no arXiv, no DOI). Date matches the PDF timestamp.",2026-08-23
GPT-3,OpenAI,OpenAI,2020-05-28,31,brown2020language,10.48550/arXiv.2005.14165,2005.14165,"Title-page author list, arXiv v1.",2026-08-23
PaLM,Google Research,Google,2022-04-05,67,chowdhery2022palm,10.48550/arXiv.2204.02311,2204.02311,"Title-page author list, arXiv v1.",2026-08-23
LLaMA,Meta AI,Meta,2023-02-27,14,touvron2023llama,10.48550/arXiv.2302.13971,2302.13971,"Title-page author list, arXiv v1.",2026-08-23
GPT-4,OpenAI,OpenAI,2023-03-15,278,openai2023gpt4,10.48550/arXiv.2303.08774,2303.08774,"Byline is institutional (""OpenAI""); named people in the v1 ""Authorship, Credit Attribution, and Acknowledgements"" appendix. Derived, not directly enumerated: the appendix layout defeats counting, so this is the v6 280-name list minus the two people added after v1 (Ian Sohl, Sully Chen).",2026-08-23 (derived)
Llama 2,Meta AI,Meta,2023-07-18,68,touvron2023llama2,10.48550/arXiv.2307.09288,2307.09288,"Title-page author list, arXiv v1.",2026-08-23
Gemini 1.0,Google DeepMind,Google,2023-12-19,939,gemini2023gemini,10.48550/arXiv.2312.11805,2312.11805,"Byline is ""Gemini Team, Google""; unique names in the v1 section 8 Contributions and Acknowledgments list (941 entries, 939 unique; Fan Yang appears three times).",2026-08-23
Gemini 1.5,Google DeepMind,Google,2024-03-08,669,gemini2024gemini15,10.48550/arXiv.2403.05530,2403.05530,"Byline is ""Gemini Team, Google""; unique names in the v1 section 8 Contributions and Acknowledgments list (671 entries, 669 unique).",2026-08-23
Llama 3,Meta AI,Meta,2024-07-31,529,dubey2024llama3,10.48550/arXiv.2407.21783,2407.21783,"Byline is ""Llama Team, AI @ Meta""; unique names in the v1 Core Contributors + Contributors appendix, acknowledgements excluded (531 entries, 529 unique).",2026-08-23
DeepSeek-V3,DeepSeek-AI,Open-weight,2024-12-27,197,deepseek2024v3,10.48550/arXiv.2412.19437,2412.19437,"Byline is ""DeepSeek-AI""; unique names in the v1 Appendix A contributor table (199 names, 197 unique).",2026-08-23
Qwen3,Alibaba Qwen Team,Open-weight,2025-05-14,176,qwen2025qwen3,10.48550/arXiv.2505.09388,2505.09388,"Byline is ""Qwen Team""; unique names in the v1 section 6 Authors, Core Contributors plus Contributors (177 entries, 176 unique). The arXiv byline of 60 is the Core Contributors only and omits the 117 Contributors.",2026-08-23
Kimi K2,Moonshot AI,Open-weight,2025-07-28,168,moonshot2025kimik2,10.48550/arXiv.2507.20534,2507.20534,"Byline is ""Kimi Team""; names in the v1 Appendix A Contributions list (168, no duplicates).",2026-08-23
Gemini 2.5,Google DeepMind,Google,2025-07-07,3291,gemini2025gemini25,10.48550/arXiv.2507.06261,2507.06261,"Byline is ""Gemini Team, Google""; unique names in the v1 section 7 Contributors list, acknowledgements excluded (3291 entries, no duplicates). The arXiv byline of 3295 splits 12 parenthetical nicknames into 16 fragments.",2026-08-23
GPT-5 System Card,OpenAI,OpenAI,2025-12-19,483,openai2025gpt5,10.48550/arXiv.2601.03267,2601.03267,"Byline is institutional (""OpenAI""). WEAKEST ROW: the 61-page document carries no author list anywhere, so 483 comes from arXiv v1 submitter metadata rather than from the report itself. May be 482 - one byline entry, ""Shuaiqi"", is a bare token, likely half of a split nickname. Unverifiable against the document.",2026-08-23 (metadata only)
